               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11621,            0.045742,            0.052054,                   0,                   0,                   0,                   0,             0.11924,            0.027677,             0.05943,              0.0919,              0.0009,              0.0009
                   1,             0.11224,            0.044774,             0.05097,                   0,                   0,                   0,                   0,             0.11577,            0.027893,            0.054746,            0.082896,           0.0018962,           0.0018962
                   2,             0.10631,            0.051507,            0.047803,                   0,                   0,                   0,                   0,             0.10838,            0.028732,            0.050776,            0.073889,           0.0028885,           0.0028885
                   3,            0.098232,            0.042946,            0.041425,                   0,                   0,                   0,                   0,             0.10099,            0.028938,            0.045346,            0.064877,           0.0038768,           0.0038768
                   4,             0.09686,            0.049873,            0.041846,                   0,                   0,                   0,                   0,             0.10099,            0.028938,            0.045346,            0.055861,           0.0048612,           0.0048612
                   5,            0.098003,            0.056425,            0.038942,           0.0045249,                 0.5,            0.003511,           0.0003511,            0.091232,             0.03063,            0.038448,            0.046842,           0.0058416,           0.0058416
                   6,             0.09502,            0.061304,            0.036442,           0.0045249,                 0.5,            0.003511,           0.0003511,            0.091232,             0.03063,            0.038448,            0.037818,            0.006818,            0.006818
                   7,            0.091809,            0.056545,            0.034651,             0.92121,                 0.5,               0.745,              0.2675,            0.084423,            0.028068,              0.0254,            0.028791,           0.0077905,           0.0077905
                   8,            0.088691,            0.049562,            0.029594,             0.92121,                 0.5,               0.745,              0.2675,            0.084423,            0.028068,              0.0254,            0.019759,            0.008759,            0.008759
                   9,            0.095923,            0.061179,            0.029732,             0.92121,                 0.5,               0.745,              0.2675,            0.084423,            0.028068,              0.0254,            0.010724,           0.0097236,           0.0097236
                  10,            0.087406,            0.053076,            0.028955,             0.92121,                 0.5,               0.745,              0.2675,            0.084423,            0.028068,              0.0254,            0.009802,            0.009802,            0.009802
                  11,            0.086534,            0.046229,             0.02402,                   1,             0.93339,               0.995,             0.28479,             0.09029,            0.025937,            0.019864,            0.009802,            0.009802,            0.009802
                  12,            0.096173,            0.054614,            0.027376,                   1,             0.93339,               0.995,             0.28479,             0.09029,            0.025937,            0.019864,           0.0097822,           0.0097822,           0.0097822
                  13,            0.093572,            0.052923,            0.025039,                   1,             0.93339,               0.995,             0.28479,             0.09029,            0.025937,            0.019864,           0.0097624,           0.0097624,           0.0097624
                  14,            0.089682,            0.048123,            0.020767,                   1,             0.93832,               0.995,             0.30739,            0.090877,            0.024066,            0.016455,           0.0097426,           0.0097426,           0.0097426
                  15,            0.088942,            0.049443,            0.019986,                   1,             0.93832,               0.995,             0.30739,            0.090877,            0.024066,            0.016455,           0.0097228,           0.0097228,           0.0097228
                  16,            0.090988,            0.050695,            0.020592,                   1,             0.93832,               0.995,             0.30739,            0.090877,            0.024066,            0.016455,            0.009703,            0.009703,            0.009703
                  17,            0.085774,            0.053936,            0.018646,             0.83578,                 0.5,             0.53204,             0.18571,            0.087126,            0.022773,            0.013694,           0.0096832,           0.0096832,           0.0096832
                  18,            0.088387,            0.056364,            0.017331,             0.83578,                 0.5,             0.53204,             0.18571,            0.087126,            0.022773,            0.013694,           0.0096634,           0.0096634,           0.0096634
                  19,            0.090391,             0.04771,            0.017151,             0.83578,                 0.5,             0.53204,             0.18571,            0.087126,            0.022773,            0.013694,           0.0096436,           0.0096436,           0.0096436
                  20,            0.088589,            0.046487,            0.016318,             0.90617,                 0.5,               0.745,             0.23959,             0.09171,            0.018551,           0.0089625,           0.0096238,           0.0096238,           0.0096238
                  21,            0.093936,            0.040967,            0.013718,             0.90617,                 0.5,               0.745,             0.23959,             0.09171,            0.018551,           0.0089625,            0.009604,            0.009604,            0.009604
                  22,            0.093405,            0.043402,            0.013522,             0.90617,                 0.5,               0.745,             0.23959,             0.09171,            0.018551,           0.0089625,           0.0095842,           0.0095842,           0.0095842
                  23,            0.096149,            0.038101,            0.013152,             0.88949,                 0.5,             0.50993,             0.20241,             0.10191,            0.015539,           0.0075709,           0.0095644,           0.0095644,           0.0095644
                  24,             0.10004,            0.038163,            0.011162,             0.88949,                 0.5,             0.50993,             0.20241,             0.10191,            0.015539,           0.0075709,           0.0095446,           0.0095446,           0.0095446
                  25,            0.095124,            0.035594,            0.011828,             0.88949,                 0.5,             0.50993,             0.20241,             0.10191,            0.015539,           0.0075709,           0.0095248,           0.0095248,           0.0095248
                  26,            0.097866,            0.037514,            0.012062,             0.88949,                 0.5,             0.50993,             0.20241,             0.10191,            0.015539,           0.0075709,            0.009505,            0.009505,            0.009505
                  27,             0.10084,            0.035243,            0.010564,             0.22884,                 0.5,             0.23643,            0.094114,             0.10128,             0.01466,           0.0064706,           0.0094852,           0.0094852,           0.0094852
